object_key,source_url,purpose,owner,media_file_id,mime,bytes
media/7b9b8e0f-8d74-0f25-5a5c-7ecf044264e7/profile-image/1e32c9d6-7672-41eb-a5aa-f5db1896c4b5.jpg,https://picsum.photos/seed/jeju-126435/1200/800,PROFILE_IMAGE,demo1@soomgil.app,075b3628-4661-48dc-a3bf-2aa790dd386b,image/jpeg,74549
media/551d0887-327e-9c05-5df7-6817966813c6/profile-image/52587e82-218a-420c-9245-fc281dc25d5c.jpg,http://tong.visitkorea.or.kr/cms/resource/22/3350622_image2_1.jpg,PROFILE_IMAGE,demo2@soomgil.app,e46410da-28ac-4f1f-ab95-6e80c1103011,image/jpeg,632154
media/c13955be-6ebb-fedb-7589-f3d0271c2d1c/profile-image/926a6f8e-dec6-4ef3-8037-e34cc60a949f.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2370378_image2_1.jpg,PROFILE_IMAGE,seoyeon@soomgil.app,f0b0064d-67d4-48d5-a98a-5f15e9ede59a,image/jpeg,46828
media/2e0fce1f-6d11-ffec-e2d6-4f26fdcc08a0/profile-image/5b25a926-cfdb-41f6-9fbe-bb718bbab075.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2612467_image2_1.jpg,PROFILE_IMAGE,doyun@soomgil.app,15fe7e23-f531-4668-8651-08fd6968aae6,image/jpeg,455554
media/d001879e-c2e5-6325-435d-5180303fb90f/profile-image/6d9590e3-0862-44bc-b7b5-23092b37e8ee.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2678633_image2_1.jpg,PROFILE_IMAGE,hana@soomgil.app,cb3f6e80-3659-4541-9a92-89f4861360a5,image/jpeg,380694
media/5bebc6a2-a390-0f49-160e-cd13c4052530/profile-image/50f4b9bc-0627-4f49-9bc6-ff5e1c2737be.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2706225_image2_1.jpg,PROFILE_IMAGE,jiwoo@soomgil.app,10b2d2cb-e0df-4ffd-8538-9d03b781aa13,image/jpeg,390657
media/3842a8d1-2e98-2713-0f9f-d9aa0d558784/profile-image/200be081-4687-47ec-8007-268aa6fcc78e.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3011836_image2_1.jpg,PROFILE_IMAGE,yerin@soomgil.app,a9889dbe-ed51-478e-b072-fa979e12e8d9,image/jpeg,485027
media/0f29c7a4-e855-a9ec-d9c6-79d9302adc38/profile-image/e4f050db-8ebf-4022-a5e2-a5f06ed75afe.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2921985_image2_1.jpg,PROFILE_IMAGE,taeyang@soomgil.app,fbc7d58f-151b-411b-8e63-24dab3a18a96,image/jpeg,379352
media/8178184a-d6af-a965-4923-3a3798e6f474/profile-image/24c9749d-4277-42d9-8bac-8d94ee4e4ec4.jpg,http://tong.visitkorea.or.kr/cms/resource/97/3011797_image2_1.jpg,PROFILE_IMAGE,sua@soomgil.app,2b1e7c0c-28bc-4907-8970-ebadfb6611c6,image/jpeg,628285
media/94a2c47d-c925-379a-b0e0-222d34bade18/profile-image/46108e6a-2299-4e2d-a21a-0bb3db8621a3.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2544890_image2_1.jpg,PROFILE_IMAGE,minseok@soomgil.app,551e1643-ad5c-4631-b47e-894dd4711e32,image/jpeg,475509
